Professor Name,Rating,Comment
Pankaj K. Agarwal,3.9,"Most difficult class I have ever had to take. For each topic, you will be given one (1) unclear example before moving on to the next. Lectures are mandatory but confusing and not worth your time. Had to supplement lectures by finding hours worth of online videos to learn anything. Lectures 40-50% average on exams, everyone was beyond stressed."
Pankaj K. Agarwal,3.9,"Pankaj was phenomenal! Accessible to help outside class and on Ed, and made dukes toughest undergrad CS class manageable. The one downside is that his accent can be a bit hard to understand. The class was redesigned to include programming components, which were a fun challenge. Definitely not an easy class regardless of prof, but Pankaj is great."
Pankaj K. Agarwal,3.9,"I like Pankaj's to-the-point lecturing style. He knows clearly what he is talking about. I went to many of his office hours and he often gave abstract remarks, but somehow was those just enough to help me through a question. CS 330 is always hard, but I thought the real midterms were consistently easier than old midterms (with other profs)."
Pankaj K. Agarwal,3.9,He is really nice. Go find him in his office hour. He will give you direction in your homework.
Pankaj K. Agarwal,3.9,"Definitely the hardest class I've taken. Prof Agarwal is organized and clearly knows the material very well, but lectures are still complicated due to difficulty of the material. Lots of supplemental readings. Nearly all homework and exam questions are difficult. Be prepared to work very hard, especially if you don't have a strong math background."
Pankaj K. Agarwal,3.9,"Dude is absolutely brilliant. Doesn't bother using notes for his lectures because he understands the material so well.  Tests are ridiculously hard, but this class is always hard. Hires amazing TAs. You will learn from a master if you take his class. "
Pankaj K. Agarwal,3.9,Agarwal is brilliant. He has such a good understanding of Algorithms that he doesn't use notes for any of his lectures. Gives lots of supplementary readings to help us understand. Very organized lectures. Makes the TAs attend the lectures to ensure recitations are on point. BUT the class content and tests are very difficult. Class is curved.
Pankaj K. Agarwal,3.9,"possibly the most difficult class I have ever taken as CS major. irritatingly unhelpful professor (if you are stuck on a problem, he will give you a hint but usually the hint isn't enough to get you past being stuck). doesn't provide answers to textbook problems, so doing problems is often frustrating and time-consuming."
Pankaj K. Agarwal,3.9,"Class is hard, regardless of the professor teaching it. Do as many problems as possible. Pankaj is nice and helpful but this material is just difficult."
Pankaj K. Agarwal,3.9,No Comments
Owen Astrachan,4.2,"I took 102, 201, and 342 with ola. 342 was easy, you get out what you put in. Relevant and current. Amazing speakers "
Owen Astrachan,4.2,"Guest talks every Thursday from alums ranging across a wide spectrum of experiences. Flexible with deadlines. You get out what you put in, but the content is across the board amazingly relevant, topical, interesting, and accessible. Except for the final paper, everything is graded on submitting on time with peer reviews."
Owen Astrachan,4.2,Lectures were really interesting. I enjoyed having guest speakers every week. If you do the work you'll get a good grade and the assignments tend to be interesting and enjoyable to do. 
Owen Astrachan,4.2,Simply the GOAT. Enough said.
Owen Astrachan,4.2,"Not clear in his explanations, and class time was a complete waste. Didn't seem like he knew what he was doing and relied way too much on his slides. Probably a great 201 professor, but it doesn't seem like he can teach anything else."
